step,epoch,learning_rate,loss,eval_loss
10,0.0500,1.80e-04,2.2445,
20,0.1000,1.99e-04,2.1080,
30,0.1500,1.95e-04,2.0285,
40,0.2000,1.89e-04,2.0675,
50,0.2500,1.80e-04,1.8899,1.9489
60,0.3000,1.69e-04,1.9471,
70,0.3500,1.56e-04,1.9948,
80,0.4000,1.42e-04,1.8795,
90,0.4500,1.26e-04,1.9499,
100,0.5000,1.10e-04,1.6898,1.8392
110,0.5500,9.34e-05,1.7982,
120,0.6000,7.71e-05,1.8420,
130,0.6500,6.14e-05,1.8429,
140,0.7000,4.67e-05,1.8451,
150,0.7500,3.35e-05,1.6929,1.8205
160,0.8000,2.21e-05,1.9076,
170,0.8500,1.29e-05,1.7932,
180,0.9000,5.97e-06,1.6781,
190,0.9500,1.65e-06,1.9317,
200,1.0000,1.37e-08,1.8142,1.8188
